text,label
"Breaking: CDC confirms vaccination rates continue to rise across all age groups.",real
"Scientists have discovered that 5G towers are spreading the virus. Share now!",fake
"Local hospital reports decrease in COVID admissions for third week in a row.",real
"Secret cure hidden by big pharma. One simple trick doctors dont want you to know.",fake
"FDA authorizes updated booster shot for fall season.",real
"Government is putting microchips in vaccines to track everyone.",fake
"Study finds mask-wearing associated with lower transmission in schools.",real
"Bill Gates wants to implant tracking devices in your brain.",fake
"Health department releases new guidelines for flu and COVID shots.",real
"Drinking bleach cures coronavirus. Spread the word!",fake
"Research shows vaccine effectiveness remains strong after six months.",real
"The pandemic was planned in 2019 to control the population.",fake
"WHO updates recommendations for at-risk groups.",real
"Vaccines contain graphene oxide that connects you to the internet.",fake
"Community centers offer free testing and vaccines this weekend.",real
"Wearing masks causes oxygen deprivation and brain damage.",fake
"New antiviral treatment approved for emergency use.",real
"Hospitals are empty. The virus is a hoax.",fake
"Cases decline as vaccination coverage increases in the region.",real
"Big tech is censoring the truth about alternative cures.",fake
"National health agency reports progress on vaccine rollout.",real
"Aluminum in vaccines causes autism. Pass it on!",fake
"Clinical trial results show high efficacy for new treatment.",real
"Media is paid to hide the real numbers of vaccine injuries.",fake
"Schools adopt updated safety protocols for winter term.",real
"Nanobots in the vaccine will control your thoughts.",fake
"Experts recommend booster for immunocompromised patients.",real
"The virus was created in a lab as a bioweapon.",fake
"Testing capacity expanded in rural areas.",real
"Vitamin D and zinc can replace vaccines completely.",fake
"Health ministry publishes weekly surveillance report.",real
"Politicians know the cure but are hiding it for profit.",fake
"Volunteer drive for blood donation sees strong turnout.",real
"COVID is just the flu. Death counts are fabricated.",fake
"International team identifies new variant characteristics.",real
"Essential oils and colloidal silver prevent infection.",fake
"Guidelines updated for travel and quarantine.",real
"Lockdowns are a plot to install martial law.",fake
"Telehealth services extended through next year.",real
"PCR tests are unreliable and give false positives.",fake
"Research consortium shares open dataset for analysis.",real
"Hydroxychloroquine is the real cure they banned.",fake
"Public health campaign focuses on hand hygiene and ventilation.",real
"Deaths are from other causes but labeled as COVID.",fake
"Pharmacy chains offer flu and COVID shots together.",real
"Vaccine passports are the first step to total control.",fake
"Epidemiologists present findings at conference.",real
"The vaccine changes your DNA permanently.",fake
"Hotline set up for vaccine appointment booking.",real
"Natural immunity is better than vaccine immunity.",fake
"Data shows hospitalization rates trending down.",real
"They want to depopulate the planet with the vaccine.",fake
"Free masks and tests available at libraries.",real
"Mainstream media is owned by big pharma.",fake
"Guidance for holiday gatherings updated.",real
"Vaccines were designed to make you infertile.",fake
"Contact tracing app reaches one million users.",real
"Warm weather will make the virus disappear.",fake
"Funding announced for long COVID research.",real
"Bill Gates owns the patent on the virus.",fake
"Advisory committee meets to review new data.",real
"Face masks are useless and only for control.",fake
"Outreach program targets underserved communities.",real
"COVID is a scam to sell vaccines and tests.",fake
"Surveillance system detects early outbreak signals.",real
"Doctors are paid to report COVID as cause of death.",fake
"Partnership with NGOs for vaccine distribution.",real
"The deep state created COVID to crash the economy.",fake
"Annual flu and COVID vaccination drive begins.",real
"Vaccine injuries are being covered up by authorities.",fake
"Panel recommends vaccine for children aged five and up.",real
"Lockdowns cause more harm than the virus.",fake
"Study examines long-term vaccine safety.",real
"Numbers are inflated to justify restrictions.",fake
"Campaign encourages vulnerable groups to get boosted.",real
"Big pharma profits from the pandemic.",fake
"Health system prepares for winter surge.",real
"Alternative media has the real story.",fake
"New treatment reduces severe outcomes in trial.",real
"Vaccines have not been properly tested.",fake
"Guidance on ventilation in workplaces updated.",real
"COVID passports are unconstitutional.",fake
"Data dashboard shows regional vaccination rates.",real
"Natural remedies are being suppressed.",fake
"Task force reviews latest evidence.",real
"Vaccine mandates are a violation of human rights.",fake
"Community transmission remains low in most areas.",real
"The truth is being censored online.",fake
"Booster eligibility expanded to more age groups.",real
"PCR cycle count is manipulated to show more cases.",fake
"Public health agency issues seasonal advisory.",real
"Hospitals get bonuses for COVID diagnoses.",fake
"Research grant awarded for vaccine development.",real
"Vitamin C and zinc cure COVID in 24 hours.",fake
"Guidelines for immunocompromised updated.",real
"Media blackout on vaccine side effects.",fake
"Pilot program for at-home testing launches.",real
"Vaccines contain aborted fetal tissue.",fake
"Surveillance report shows declining positivity.",real
"Government is using COVID to grab power.",fake
"Partnership to increase vaccine access in developing countries.",real
